,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
44,984734.4197,199062.7027,45,0.045906863,9.14e-05,Chinatown,45,Manhattan,40.7164913,-73.9962504
45,1043322.207,248116.4989,46,0.13447543,0.000926392,City Island,46,Bronx,40.847455999999994,-73.78646637155543
46,1012767.08,247425.531,47,0.089827556,0.000163198,Claremont/Bathgate,47,Bronx,Latitude not found,Longitude not found
47,987059.9306,216980.2975,48,0.043746744,9.43e-05,Clinton East,48,Manhattan,30.8657362,-91.0156594
48,993974.8786,190123.2803,49,0.075290018,0.000203186,Clinton Hill,49,Brooklyn,40.6897222,-73.9652778
49,985939.8863,218603.5227,50,0.055747987,0.000173249,Clinton West,50,Manhattan,41.4878899,-81.71073462120103
50,1031147.48,257767.3374,51,0.095361344,0.000395757,Co-Op City,51,Bronx,40.8738889,-73.8294444
51,985103.5111,189424.9943,52,0.028907671,4.52e-05,Cobble Hill,52,Brooklyn,40.687547,-73.9973352
52,1027433.108,224214.5923,53,0.161500913,0.000947531,College Point,53,Queens,40.7876014,-73.8459682
53,983392.2611,189565.8462,54,0.076219245,0.000132452,Columbia Street,54,Brooklyn,40.927146,-75.093156
54,986896.2156,149456.6732,55,0.149956808,0.000736275,Coney Island,55,Brooklyn,40.575929599999995,-73.99219633010372
55,1023307.4,209492.4157,56,0.056847813,0.000180908,Corona,56,Queens,33.8752945,-117.5664449
56,1024871.753,213399.6897,57,0.019270505,1.8e-05,Corona,56,Queens,33.8752945,-117.5664449
57,1033859.424,245900.361,58,0.059855409,0.000204981,Country Club,58,Bronx,25.94096615,-80.30999085833386
58,1013836.648,244914.7206,59,0.037794807,6.29e-05,Crotona Park,59,Bronx,40.838901899999996,-73.89386451155042
59,1014751.087,242159.3244,60,0.078648288,0.000161833,Crotona Park East,60,Bronx,40.838135,-73.887289
60,1000537.754,184780.9845,61,0.117310808,0.000510772,Crown Heights North,61,Brooklyn,37.688284,-97.292179
61,998323.4086,182319.187,62,0.082259336,0.000158238,Crown Heights South,62,Brooklyn,51.2289578,-0.5681696
62,1018175.697,188794.9339,63,0.119100722,0.000353191,Cypress Hills,63,Brooklyn,40.6899088,-73.8726597
