,X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,latitude,longitude
149,1000115.542,150686.8185,150,0.089331491,0.000332568,Manhattan Beach,150,Brooklyn,40.57650988,-73.94285919
150,993163.0124,229962.8097,151,0.054889941,0.000128849,Manhattan Valley,151,Manhattan,40.7997764,-73.9677716
151,996892.4997,237145.8587,152,0.057909477,0.000146638,Manhattanville,152,Manhattan,40.8157775,-73.951554
152,1008845.682,258295.0956,153,0.024737239,3.25E-05,Marble Hill,153,Manhattan,40.8762983,-73.9104292
153,1013099.185,155382.6404,154,0.227331571,0.001789687,Marine Park/Floyd Bennett Field,154,Brooklyn,40.5909522,-73.89063056
154,1010132.947,164367.1802,155,0.169808473,0.000868261,Marine Park/Mill Basin,155,Brooklyn,40.60730622,-73.91046333
155,938488.8473,168389.4267,156,0.14447689,0.001052122,Mariners Harbor,156,Staten Island,40.6367701,-74.1587547
156,1011434.314,203078.8231,157,0.131300218,0.00035437,Maspeth,157,Queens,40.723158,-73.912637
157,981926.0197,207147.399,158,0.054809991,0.000185568,Meatpacking/West Village West,158,Manhattan,40.7397134,-74.0096709
158,1008169.271,237402.9332,159,0.064363233,0.000171249,Melrose South,159,Bronx,40.81919363,-73.91481809
159,1017317.016,201069.3538,160,0.141519143,0.000571235,Middle Village,160,Queens,40.71821565,-73.87867155
160,990502.2531,215519.8659,161,0.03580391,7.19E-05,Midtown Center,161,Manhattan,40.75819102,-73.99901463
161,991966.9406,215006.4597,162,0.035269815,4.79E-05,Midtown East,162,Manhattan,40.7598219,-73.9724708
162,990242.6227,217778.2895,163,0.034176867,4.09E-05,Midtown North,163,Manhattan,40.76520348,-73.9851039
163,988148.8157,212087.7944,164,0.035771612,5.56E-05,Midtown South,164,Manhattan,40.7498417,-73.984251
164,996852.6555,165511.6453,165,0.088608036,0.000353959,Midwood,165,Brooklyn,40.6188823,-73.9654889
165,994820.4931,234227.6404,166,0.068823754,0.000255276,Morningside Heights,166,Manhattan,40.81,-73.9625
166,1010695.364,240950.0324,167,0.090815974,0.000167529,Morrisania/Melrose,167,Bronx,40.8256703,-73.9152416
167,1007211.151,233459.9183,168,0.114517434,0.000547058,Mott Haven/Port Morris,168,Bronx,40.807837,-73.90642493
168,1010526.818,248647.1295,169,0.060104658,0.000146028,Mount Hope,169,Bronx,40.84882806,-73.9072152
169,990638.9732,211668.1067,170,0.045769009,7.43E-05,Murray Hill,170,Manhattan,40.74953251,-73.97609719
170,1037188.868,219481.4359,171,0.107353876,0.0005201,Murray Hill-Queens,171,Queens,40.76,-73.8130556
171,955378.0543,147858.1676,172,0.118476116,0.000658403,New Dorp/Midland Beach,172,Staten Island,40.56999998,-74.10664459
